2024-04-15 02:25:09.042  WARN 2419601 --- [qtp1800693087-473347] .s.h.DefaultAuthenticationFailureHandler : Handle unsuccessful authentication, ip: [91.215.85.43]
2024-04-15 02:25:09.044 ERROR 2419601 --- [qtp1800693087-473347] .s.h.DefaultAuthenticationFailureHandler : Authentication failure: [未登录，请登录后访问], status: [401 UNAUTHORIZED], data: [null]
2024-04-15 02:25:09.088  WARN 2419601 --- [qtp1800693087-473347] .s.h.DefaultAuthenticationFailureHandler : Handle unsuccessful authentication, ip: [91.215.85.43]
2024-04-15 02:25:09.088 ERROR 2419601 --- [qtp1800693087-473347] .s.h.DefaultAuthenticationFailureHandler : Authentication failure: [未登录，请登录后访问], status: [401 UNAUTHORIZED], data: [null]
2024-04-15 02:25:09.591  WARN 2419601 --- [qtp1800693087-473347] .s.h.DefaultAuthenticationFailureHandler : Handle unsuccessful authentication, ip: [91.215.85.43]
2024-04-15 02:25:09.592 ERROR 2419601 --- [qtp1800693087-473347] .s.h.DefaultAuthenticationFailureHandler : Authentication failure: [未登录，请登录后访问], status: [401 UNAUTHORIZED], data: [null]
2024-04-15 02:25:09.717  WARN 2419601 --- [qtp1800693087-477397] .s.h.DefaultAuthenticationFailureHandler : Handle unsuccessful authentication, ip: [91.215.85.43]
2024-04-15 02:25:09.718 ERROR 2419601 --- [qtp1800693087-477397] .s.h.DefaultAuthenticationFailureHandler : Authentication failure: [未登录，请登录后访问], status: [401 UNAUTHORIZED], data: [null]
2024-04-15 05:03:40.671  WARN 2419601 --- [qtp1800693087-477397] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 05:23:58.881  WARN 2419601 --- [qtp1800693087-477396] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 07:44:16.331  WARN 2419601 --- [qtp1800693087-473347] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 08:32:10.480  WARN 2419601 --- [qtp1800693087-471690] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 08:32:12.411  WARN 2419601 --- [qtp1800693087-471707] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 08:32:14.287  WARN 2419601 --- [qtp1800693087-471707] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 08:32:15.969  WARN 2419601 --- [qtp1800693087-471707] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 08:32:19.970  WARN 2419601 --- [qtp1800693087-471707] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 09:01:45.244  WARN 2419601 --- [qtp1800693087-477396] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 09:01:46.581  WARN 2419601 --- [qtp1800693087-473347] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 09:01:47.918  WARN 2419601 --- [qtp1800693087-477396] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 09:01:49.136  WARN 2419601 --- [qtp1800693087-477396] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 09:01:51.840  WARN 2419601 --- [qtp1800693087-473347] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 09:20:34.576  WARN 2419601 --- [qtp1800693087-471707] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 09:20:34.682  WARN 2419601 --- [qtp1800693087-471707] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 09:41:56.561  WARN 2419601 --- [qtp1800693087-477679] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2024-04-15 10:52:53.734  WARN 2419601 --- [qtp1800693087-471921] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
